,Top Performers,Bottom Performers
ADM,-2.31%,
AEE,,-1.20%
AFL,1.12%,
AOS,1.87%,
APD,,-1.17%
ATO,,-0.54%
AVY,,-0.03%
BAX,-3.28%,
BRO,1.75%,
BXP,,-1.14%
CHD,1.23%,
CINF,,-0.57%
CMI,,-0.77%
CMS,,-0.62%
COO,0.39%,
DHI,3.45%,
DOV,,-0.10%
DTE,,-0.90%
ED,,-0.71%
EIX,0.18%,
EMN,,-0.12%
ESS,,-0.13%
FDS,,-0.31%
FE,,-0.88%
FRT,,-1.02%
GL,0.00%,
HBAN,,-1.86%
HOLX,,-0.79%
IEX,,-1.46%
INCY,-3.29%,
JBHT,,-0.02%
LNC,-2.74%,
MHK,,-1.00%
NTRS,,-1.04%
NUE,1.56%,
PNW,,-0.32%
POOL,0.77%,
PPG,0.43%,
RHI,0.47%,
ROK,0.37%,
ROL,0.01%,
ROP,1.43%,
SJM,-2.81%,
SNA,1.13%,
STT,,-0.49%
SWK,1.43%,
TER,0.07%,
TTWO,3.27%,
Unnamed: 51,,
VMC,1.18%,
